test,"TH test"
﻿jobAds,"Job Ads"
﻿paymentType,"Payment type"
﻿prepaid,"Prepaid"
﻿postpaid,"Postpaid"
﻿selectPackageLiteTitle,"How many Lite Ads do you want to purchase?"
﻿selectPackageBasicTitle,"How many Basic Ads do you want to purchase?"
﻿selectPackageBrandedTitle,"How many Branded Ads do you want to purchase?"
﻿selectPackagePremiumTitle,"How many Premium Ads do you want to purchase?"
﻿selectPackagePremiumAdPlusTitle,"How many Premium Ad Plus do you want to purchase?"
﻿day,"day"
﻿days,"days"
﻿month,"month"
﻿months,"months"
﻿year,"year"
﻿years,"years"
﻿unlimited,"Unlimited"
﻿validity," validity"
﻿packageValidity," package validity"
﻿buyNow,"Buy now"
﻿buyBoxNeedMore,"Need more Branded Ads? "
﻿buyBoxForQuotation," for quotation."
﻿buyBoxContactUs,"Contact us"
﻿adSampleHeadline,"This is how job ads appear to candidates."
﻿liteAndBasicAd,"Lite and Basic Ad"
﻿brandedAndPremiumAd,"Branded and Premium Ad"
﻿faqsHeadline,"FAQs"
﻿faqQuestionOne,"How do I make cash/check payment over-the-counter for a prepaid JobStreet.com package?"
﻿faqQuestionTwo,"How do I make cash/cheque payment over-the-counter for a postpaid JobStreet.com package?"
﻿faqQuestionThree,"How do I make payment for a JobStreet.com package with a credit card?"
﻿faqQuestionFour,"I have submitted my Service Agreement Form (SAF) to my account manager to create and process my order. What is the next process?"
﻿faqQuestionFive,"How do I make payment through BDO Unibank’s Personal Online Banking (POB) for a JobStreet.com package?"
﻿faqQuestionSix,"How do I make payment through BDO Unibank’s Business Online Banking (BOB) for a JobStreet.com package?"
﻿faqQuestionSeven,"I am not a BDO Unibank account user, how do I make payment through BDO Unibank online banking for JobStreet.com package?"
﻿talentSearchHeadline,"Search and connect with the right candidates faster."
﻿talentSearchDescribe,"Jobstreet Talent Search gives you the opportunity to find candidates who may be a perfect fit for your role."
﻿selectaPackage,"Select a package:"
﻿adTypeTitle,"Get your job ad noticed by relevant candidates."
﻿adTypeDescription,"Choose the ad type to best suit your role. All ads include a 30-day listing on the largest job marketplace in {{country}}."
﻿unitPopularValue,"Most Popular"
﻿unitBestValue,"Best Value"
﻿unitUnitType,"/ ad"
﻿unitBtnDefaltValue,"Select"
﻿unitBtnClickedValue,"Selected"
﻿unitExampleValue,"See example"
﻿unitShowDetailValue,"Show details"
﻿FreeAdPrice,"Free"
﻿FreeAdBtnDefaltValue,"Create job ad now"
﻿allLiteAdCreditUsed,"All your Lite Ad credits have been used"
﻿servicePremiumAdPlus,"Service guarantee"
﻿servicePremiumAdPlusInfo,"Provide an additional 30 days <br />guarantee for a job ad that has <br />less than {{count}} applications."
﻿reAlert,"Re-alerts"
